(in /Users/marcelomenezes/ruby_training/newstemplates)
+----------------------------------------------------+-------+-------+--------+
|                  File                              | Lines |  LOC  |  COV   |
|...0/lib/action_controller/routing/optimisations.rb |   120 |    76 |  85.5% |
|...n_controller/routing/recognition_optimisation.rb |   158 |    90 |  10.0% |
|...ack-2.1.0/lib/action_controller/routing/route.rb |   240 |   158 |  63.3% |
|...2.1.0/lib/action_controller/routing/route_set.rb |   435 |   304 |  68.4% |
|...1.0/lib/action_controller/routing/routing_ext.rb |    46 |    39 |  41.0% |
|...-2.1.0/lib/action_controller/routing/segments.rb |   283 |   216 |  60.6% |
|...action_controller/session/active_record_store.rb |   340 |   195 |  31.8% |
|....0/lib/action_controller/session/cookie_store.rb |   166 |    81 |  25.9% |
|...2.1.0/lib/action_controller/session/drb_store.rb |    35 |    28 |  46.4% |
|...lib/action_controller/session/mem_cache_store.rb |    98 |    43 |  30.2% |
|....1.0/lib/action_controller/session_management.rb |   158 |    91 |  89.0% |
|...pack-2.1.0/lib/action_controller/status_codes.rb |    88 |    71 |  95.8% |
|...ionpack-2.1.0/lib/action_controller/streaming.rb |   155 |    61 |  24.6% |
|...ionpack-2.1.0/lib/action_controller/test_case.rb |    83 |    62 |  30.6% |
|...pack-2.1.0/lib/action_controller/test_process.rb |   524 |   360 |  58.1% |
|...pack-2.1.0/lib/action_controller/url_rewriter.rb |   142 |    77 |  49.4% |
|...pack-2.1.0/lib/action_controller/verification.rb |   130 |    48 |  37.5% |
|...uby/1.8/gems/actionpack-2.1.0/lib/action_view.rb |    45 |    18 | 100.0% |
|....8/gems/actionpack-2.1.0/lib/action_view/base.rb |   343 |   141 |  49.6% |
|.../lib/action_view/helpers/active_record_helper.rb |   276 |   145 |  21.4% |
|....1.0/lib/action_view/helpers/asset_tag_helper.rb |   611 |   216 |  19.9% |
|....1.0/lib/action_view/helpers/atom_feed_helper.rb |   143 |    48 |  20.8% |
|....1.0/lib/action_view/helpers/benchmark_helper.rb |    33 |    15 |  33.3% |
|...ck-2.1.0/lib/action_view/helpers/cache_helper.rb |    40 |    10 |  40.0% |
|...-2.1.0/lib/action_view/helpers/capture_helper.rb |   161 |    44 |  25.0% |
|...ack-2.1.0/lib/action_view/helpers/date_helper.rb |   711 |   279 |  14.3% |
|...ck-2.1.0/lib/action_view/helpers/debug_helper.rb |    31 |    14 |  28.6% |
|...ack-2.1.0/lib/action_view/helpers/form_helper.rb |   763 |   311 |  24.8% |
|...0/lib/action_view/helpers/form_options_helper.rb |   457 |   182 |  38.5% |
|...2.1.0/lib/action_view/helpers/form_tag_helper.rb |   459 |   119 |  20.2% |
|...1.0/lib/action_view/helpers/javascript_helper.rb |   217 |    83 |  27.7% |
|...k-2.1.0/lib/action_view/helpers/number_helper.rb |   186 |    84 |  10.7% |
|....1.0/lib/action_view/helpers/prototype_helper.rb |  1300 |   445 |  30.8% |
|...ion_view/helpers/record_identification_helper.rb |    20 |    15 |  40.0% |
|...1.0/lib/action_view/helpers/record_tag_helper.rb |    59 |    16 |  31.2% |
